Job Link,Job Title,Job Company,Job Location,Salary,Description
https://www.totaljobs.com/job/dental-nurse/bupa-dental-care-job101701290,Dental Nurse,Bupa Dental Care,"Motcombe, BN21 1BA",Unspecified,"As a Dental Nurse at Bupa, youll benefit from exceptional development and opportunities and an experienced practice team around you - all in an environment built to help you succeed and feel comfortable coming to work. Weve established dental nurse career pathways leading to senior roles, free specialist training and offer free CPD. Your GDC registration, DBS check and professional indemnity are all covered by Bupa Dental Care. Your development at Bupa Dental Care - We have introduced a career framework fordental nurses which links pay to skills, qualifications and progression. If not, that's ok too, we know how challenging and rewarding a career in dental nursing is, we recognise this and we take action to make life easier for you. * Discounted dental insurance which can be extended to immediate family members. * We cover your GDC registration, your DBS and professio"
https://www.totaljobs.com/job/courier/just-eat-job101697165,Courier,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and driver documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent today! ""Delivery with the best as a self-employed delivery rider Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like. Make extra money. With Just Eats cutting-edge technology you get more deliveries, more often, meaning more money in your pocket. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/driver/just-eat-job101697163,Driver,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent courier today! ""Delivery with the best as a self-employed delivery rider Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like. Make extra money. With Just Eats cutting-edge technology you get more deliveries, more often, meaning more money in your pocket. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/courier/just-eat-job101697166,Courier,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and driver documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent today! ""Delivery with the best as a self-employed delivery rider Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like. Make extra money. With Just Eats cutting-edge technology you get more deliveries, more often, meaning more money in your pocket. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/deputy-manager-clinical/barchester-healthcare-ltd-job101697153,Deputy General Manager (Clinical),Barchester Healthcare Ltd,"Bishopton, DL1 1JF",£22.00 per hour,"Please note this is an Acting Deputy General Manager position with the possibility for the successful candidate to be made permanent following 6 months successful probation period. Working closely with the and taking on leadership duties in their absence, you can expect to help with everything from ensuring care standards to motivating your team. As Care Home DeputyManager & Lead of a Barchester care home, youll support the delivery of the quality care were known for. That means leading by example and monitoring standards through regular audits, supervised practice and checking our regulatory compliance. To join us as a Care Home DeputyManager & Lead, youll need be a qualified Registered Mental Health Nursewith current NMC re"
https://www.totaljobs.com/job/driver/just-eat-job101697161,Driver,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent courier today! ""Delivery with the best as a self-employed delivery rider Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like. Make extra money. With Just Eats cutting-edge technology you get more deliveries, more often, meaning more money in your pocket. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/courier/just-eat-job101697167,Courier,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and driver documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent today! ""Delivery with the best as a self-employed delivery rider Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like. Make extra money. With Just Eats cutting-edge technology you get more deliveries, more often, meaning more money in your pocket. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/delivery-driver/just-eat-job101697168,Delivery Driver,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent today! "" with the best as a self-employed rider Make extra money in a way that suits you. With Just Eats cutting-edge technology you get more more often, meaning more money in your pocket. Anytime. Any day. As much or as little as you like. Make extra money. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/driver/just-eat-job101697162,Driver,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent courier today! ""Delivery with the best as a self-employed delivery rider Make extra money in a way that suits you. Anytime. Any day. As much or as little as you like. Make extra money. With Just Eats cutting-edge technology you get more deliveries, more often, meaning more money in your pocket. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
https://www.totaljobs.com/job/delivery-driver/just-eat-job101697160,Delivery Driver,Just Eat,"Dumbarton, Dunbartonshire",Unspecified,"Heres what you need: A way to get around (bike, moped, or car) A smartphone - Android (8.0 and above) or iPhone (iOs 12 and above) ID and documentation including: Proof of age (18+) Proof of your right to work in the UK Join the Just Eat Network as an independent today! "" with the best as a self-employed rider Make extra money in a way that suits you. With Just Eats cutting-edge technology you get more more often, meaning more money in your pocket. Anytime. Any day. As much or as little as you like. Make extra money. Be your own boss. Choose your own schedule, wear your clothes, listen to your music, and make money, whenever you want it. Sounds good right?"
